1773577570.659209 server started (43165): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1773577570.659259 on Linux 6.19.7-200.fc43.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Mar 12 15:50:03 UTC 2026
1773577570.659295 using libevent 2.1.12-stable poll
1773577570.659313 using ncurses 6.5 20250614
1773577570.660053 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1773577570.660063 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1773577570.660073 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1773577570.660084 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1773577570.660095 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1773577570.660131 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1773577570.660147 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1773577570.660161 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1773577570.660250 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1773577570.660291 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1773577570.660310 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1773577570.660321 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1773577570.660332 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1773577570.660341 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1773577570.660352 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1773577570.660362 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1773577570.660373 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1773577570.660384 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1773577570.660395 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1773577570.660406 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1773577570.660416 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1773577570.660427 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1773577570.660437 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1773577570.660448 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1773577570.660458 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1773577570.660468 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1773577570.660478 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1773577570.660489 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1773577570.660501 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1773577570.660512 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1773577570.660522 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1773577570.660532 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1773577570.660543 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1773577570.660559 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1773577570.660570 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1773577570.660580 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1773577570.660591 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1773577570.660603 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1773577570.660613 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1773577570.660624 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1773577570.660635 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1773577570.660645 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1773577570.660655 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1773577570.660665 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1773577570.660676 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1773577570.660686 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1773577570.660697 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1773577570.660707 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1773577570.660718 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1773577570.660728 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1773577570.660739 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1773577570.660749 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1773577570.660760 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1773577570.660769 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1773577570.660779 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1773577570.660790 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1773577570.660800 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1773577570.660811 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1773577570.660822 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1773577570.660833 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1773577570.660843 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1773577570.660855 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1773577570.660865 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1773577570.660876 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1773577570.660887 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1773577570.660898 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1773577570.660916 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1773577570.660930 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1773577570.660941 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1773577570.660951 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1773577570.660970 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1773577570.660981 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1773577570.660991 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1773577570.661002 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1773577570.661012 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1773577570.661023 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1773577570.661032 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1773577570.661043 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1773577570.661055 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1773577570.661065 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1773577570.661076 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1773577570.661086 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1773577570.661096 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1773577570.661119 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1773577570.661129 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1773577570.661140 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1773577570.661151 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1773577570.661161 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1773577570.661173 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1773577570.661185 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1773577570.661195 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1773577570.661206 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1773577570.661216 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1773577570.661228 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1773577570.661243 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1773577570.661254 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1773577570.661265 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1773577570.661278 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1773577570.661289 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1773577570.661300 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1773577570.661311 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1773577570.661321 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1773577570.661331 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1773577570.661342 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1773577570.661352 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1773577570.661363 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1773577570.661374 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1773577570.661384 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1773577570.661395 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1773577570.661408 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1773577570.661420 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1773577570.661432 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1773577570.661444 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1773577570.661454 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1773577570.661464 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1773577570.661475 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1773577570.661486 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1773577570.661496 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1773577570.661507 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1773577570.661518 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1773577570.661539 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1773577570.661553 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1773577570.661563 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1773577570.661574 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1773577570.661584 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1773577570.661595 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1773577570.661606 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1773577570.661617 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1773577570.661628 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1773577570.661637 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1773577570.661648 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1773577570.661658 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1773577570.661669 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1773577570.661679 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1773577570.661690 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1773577570.661701 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1773577570.661711 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1773577570.661722 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1773577570.661738 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1773577570.661753 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1773577570.661766 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1773577570.661781 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1773577570.661797 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1773577570.661811 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1773577570.661824 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1773577570.661846 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1773577570.661861 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1773577570.661874 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1773577570.661886 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1773577570.661897 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1773577570.661907 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1773577570.661917 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1773577570.661928 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1773577570.661938 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1773577570.661949 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1773577570.661959 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1773577570.661970 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1773577570.661981 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1773577570.661992 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1773577570.662002 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1773577570.662012 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1773577570.662023 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1773577570.662034 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1773577570.662064 yylex_token: end at WS
1773577570.662075 yylex_token: bind
1773577570.662087 yylex_token: end at WS
1773577570.662097 yylex_token: -N
1773577570.662123 yylex_token: end at WS
1773577570.662134 yylex_token: Send the prefix key
1773577570.662144 yylex_token: end at WS
1773577570.662155 yylex_token: C-b
1773577570.662166 yylex_token: end at WS
1773577570.662176 yylex_token: send-prefix
1773577570.662190 cmd_parse_build_commands 0:0: bind
1773577570.662201 cmd_parse_build_commands 0:1: -N
1773577570.662212 cmd_parse_build_commands 0:2: Send the prefix key
1773577570.662222 cmd_parse_build_commands 0:3: C-b
1773577570.662239 cmd_parse_build_commands 0:4 0:0: send-prefix
1773577570.662259 cmd_parse_build_commands 0:0: send-prefix
1773577570.662286 args_parse: flags end at 1 of 1
1773577570.662302 cmd_parse_build_commands: send-prefix
1773577570.662313 args_parse_flags: next -N
1773577570.662323 args_parse_flag_argument: -N = Send the prefix key
1773577570.662334 args_parse_flags: next C-b
1773577570.662344 args_parse: flags end at 3 of 5
1773577570.662356 args_parse: 3 = C-b (type STRING)
1773577570.662369 args_parse: 4 = send-prefix (type COMMANDS)
1773577570.662396 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1773577570.662409 cmdq_get_command: [bind-key/0x5650cf05f120] group 2
1773577570.662419 cmdq_append <global>: [bind-key/0x5650cf05f120]
1773577570.662431 yylex_token: end at WS
1773577570.662442 yylex_token: bind
1773577570.662451 yylex_token: end at WS
1773577570.662461 yylex_token: -N
1773577570.662473 yylex_token: end at WS
1773577570.662483 yylex_token: Rotate through the panes
1773577570.662493 yylex_token: end at WS
1773577570.662503 yylex_token: C-o
1773577570.662515 yylex_token: end at WS
1773577570.662525 yylex_token: rotate-window
1773577570.662536 cmd_parse_build_commands 0:0: bind
1773577570.662547 cmd_parse_build_commands 0:1: -N
1773577570.662557 cmd_parse_build_commands 0:2: Rotate through the panes
1773577570.662567 cmd_parse_build_commands 0:3: C-o
1773577570.662578 cmd_parse_build_commands 0:4 0:0: rotate-window
1773577570.662590 cmd_parse_build_commands 0:0: rotate-window
1773577570.662602 args_parse: flags end at 1 of 1
1773577570.662612 cmd_parse_build_commands: rotate-window
1773577570.662622 args_parse_flags: next -N
1773577570.662633 args_parse_flag_argument: -N = Rotate through the panes
1773577570.662644 args_parse_flags: next C-o
1773577570.662655 args_parse: flags end at 3 of 5
1773577570.662665 args_parse: 3 = C-o (type STRING)
1773577570.662675 args_parse: 4 = rotate-window (type COMMANDS)
1773577570.662690 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1773577570.662702 cmdq_get_command: [bind-key/0x5650cf05f6b0] group 10
1773577570.662713 cmdq_append <global>: [bind-key/0x5650cf05f6b0]
1773577570.662725 yylex_token: end at WS
1773577570.662734 yylex_token: bind
1773577570.662745 yylex_token: end at WS
1773577570.662755 yylex_token: -N
1773577570.662779 yylex_token: end at WS
1773577570.662789 yylex_token: Suspend the current client
1773577570.662799 yylex_token: end at WS
1773577570.662809 yylex_token: C-z
1773577570.662819 yylex_token: end at WS
1773577570.662831 yylex_token: suspend-client
1773577570.662841 cmd_parse_build_commands 0:0: bind
1773577570.662851 cmd_parse_build_commands 0:1: -N
1773577570.662862 cmd_parse_build_commands 0:2: Suspend the current client
1773577570.662873 cmd_parse_build_commands 0:3: C-z
1773577570.662883 cmd_parse_build_commands 0:4 0:0: suspend-client
1773577570.662894 cmd_parse_build_commands 0:0: suspend-client
1773577570.662906 args_parse: flags end at 1 of 1
1773577570.662917 cmd_parse_build_commands: suspend-client
1773577570.662926 args_parse_flags: next -N
1773577570.662937 args_parse_flag_argument: -N = Suspend the current client
1773577570.662946 args_parse_flags: next C-z
1773577570.662957 args_parse: flags end at 3 of 5
1773577570.662967 args_parse: 3 = C-z (type STRING)
1773577570.662978 args_parse: 4 = suspend-client (type COMMANDS)
1773577570.662992 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1773577570.663003 cmdq_get_command: [bind-key/0x5650cf05fc20] group 18
1773577570.663013 cmdq_append <global>: [bind-key/0x5650cf05fc20]
1773577570.663024 yylex_token: end at WS
1773577570.663033 yylex_token: bind
1773577570.663043 yylex_token: end at WS
1773577570.663054 yylex_token: -N
1773577570.663065 yylex_token: end at WS
1773577570.663074 yylex_token: Select next layout
1773577570.663084 yylex_token: end at WS
1773577570.663093 yylex_token: Space
1773577570.663114 yylex_token: end at WS
1773577570.663125 yylex_token: next-layout
1773577570.663137 cmd_parse_build_commands 0:0: bind
1773577570.663147 cmd_parse_build_commands 0:1: -N
1773577570.663166 cmd_parse_build_commands 0:2: Select next layout
1773577570.663179 cmd_parse_build_commands 0:3: Space
1773577570.663190 cmd_parse_build_commands 0:4 0:0: next-layout
1773577570.663200 cmd_parse_build_commands 0:0: next-layout
1773577570.663212 args_parse: flags end at 1 of 1
1773577570.663222 cmd_parse_build_commands: next-layout
1773577570.663232 args_parse_flags: next -N
1773577570.663243 args_parse_flag_argument: -N = Select next layout
1773577570.663253 args_parse_flags: next Space
1773577570.663263 args_parse: flags end at 3 of 5
1773577570.663273 args_parse: 3 = Space (type STRING)
1773577570.663285 args_parse: 4 = next-layout (type COMMANDS)
1773577570.663298 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1773577570.663310 cmdq_get_command: [bind-key/0x5650cf060360] group 26
1773577570.663321 cmdq_append <global>: [bind-key/0x5650cf060360]
1773577570.663333 yylex_token: end at WS
1773577570.663343 yylex_token: bind
1773577570.663356 yylex_token: end at WS
1773577570.663370 yylex_token: -N
1773577570.663385 yylex_token: end at WS
1773577570.663399 yylex_token: Break pane to a new window
1773577570.663412 yylex_token: end at WS
1773577570.663424 yylex_token: !
1773577570.663438 yylex_token: end at WS
1773577570.663451 yylex_token: break-pane
1773577570.663470 cmd_parse_build_commands 0:0: bind
1773577570.663483 cmd_parse_build_commands 0:1: -N
1773577570.663498 cmd_parse_build_commands 0:2: Break pane to a new window
1773577570.663513 cmd_parse_build_commands 0:3: !
1773577570.663528 cmd_parse_build_commands 0:4 0:0: break-pane
1773577570.663545 cmd_parse_build_commands 0:0: break-pane
1773577570.663560 args_parse: flags end at 1 of 1
1773577570.663574 cmd_parse_build_commands: break-pane
1773577570.663584 args_parse_flags: next -N
1773577570.663595 args_parse_flag_argument: -N = Break pane to a new window
1773577570.663605 args_parse_flags: next !
1773577570.663615 args_parse: flags end at 3 of 5
1773577570.663626 args_parse: 3 = ! (type STRING)
1773577570.663637 args_parse: 4 = break-pane (type COMMANDS)
1773577570.663651 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1773577570.663662 cmdq_get_command: [bind-key/0x5650cf05c360] group 34
1773577570.663672 cmdq_append <global>: [bind-key/0x5650cf05c360]
1773577570.663684 yylex_token: end at WS
1773577570.663694 yylex_token: bind
1773577570.663704 yylex_token: end at WS
1773577570.663714 yylex_token: -N
1773577570.663724 yylex_token: end at WS
1773577570.663734 yylex_token: Split window vertically
1773577570.663744 yylex_token: end at WS
1773577570.663754 yylex_token: "
1773577570.663765 yylex_token: end at WS
1773577570.663776 yylex_token: split-window
1773577570.663787 cmd_parse_build_commands 0:0: bind
1773577570.663796 cmd_parse_build_commands 0:1: -N
1773577570.663807 cmd_parse_build_commands 0:2: Split window vertically
1773577570.663818 cmd_parse_build_commands 0:3: "
1773577570.663828 cmd_parse_build_commands 0:4 0:0: split-window
1773577570.663840 cmd_parse_build_commands 0:0: split-window
1773577570.663852 args_parse: flags end at 1 of 1
1773577570.663865 cmd_parse_build_commands: split-window
1773577570.663875 args_parse_flags: next -N
1773577570.663885 args_parse_flag_argument: -N = Split window vertically
1773577570.663895 args_parse_flags: next "
1773577570.663906 args_parse: flags end at 3 of 5
1773577570.663916 args_parse: 3 = " (type STRING)
1773577570.663927 args_parse: 4 = split-window (type COMMANDS)
1773577570.663940 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1773577570.663951 cmdq_get_command: [bind-key/0x5650cf05c970] group 42
1773577570.663961 cmdq_append <global>: [bind-key/0x5650cf05c970]
1773577570.663973 yylex_token: end at WS
1773577570.663983 yylex_token: bind
1773577570.663993 yylex_token: end at WS
1773577570.664002 yylex_token: -N
1773577570.664013 yylex_token: end at WS
1773577570.664023 yylex_token: List all paste buffers
1773577570.664034 yylex_token: end at WS
1773577570.664045 yylex_token: #
1773577570.664071 yylex_token: end at WS
1773577570.664085 yylex_token: list-buffers
1773577570.664096 cmd_parse_build_commands 0:0: bind
1773577570.664122 cmd_parse_build_commands 0:1: -N
1773577570.664132 cmd_parse_build_commands 0:2: List all paste buffers
1773577570.664142 cmd_parse_build_commands 0:3: #
1773577570.664153 cmd_parse_build_commands 0:4 0:0: list-buffers
1773577570.664166 cmd_parse_build_commands 0:0: list-buffers
1773577570.664178 args_parse: flags end at 1 of 1
1773577570.664188 cmd_parse_build_commands: list-buffers
1773577570.664198 args_parse_flags: next -N
1773577570.664209 args_parse_flag_argument: -N = List all paste buffers
1773577570.664219 args_parse_flags: next #
1773577570.664229 args_parse: flags end at 3 of 5
1773577570.664241 args_parse: 3 = # (type STRING)
1773577570.664252 args_parse: 4 = list-buffers (type COMMANDS)
1773577570.664265 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1773577570.664277 cmdq_get_command: [bind-key/0x5650cf05ce70] group 50
1773577570.664287 cmdq_append <global>: [bind-key/0x5650cf05ce70]
1773577570.664298 yylex_token: end at WS
1773577570.664309 yylex_token: bind
1773577570.664319 yylex_token: end at WS
1773577570.664328 yylex_token: -N
1773577570.664340 yylex_token: end at WS
1773577570.664350 yylex_token: Rename current session
1773577570.664360 yylex_token: end at WS
1773577570.664370 yylex_token: $
1773577570.664381 yylex_token: end at WS
1773577570.664390 yylex_token: command-prompt
1773577570.664401 yylex_token: end at WS
1773577570.664412 yylex_token: -I#S
1773577570.664422 yylex_token: end at WS
1773577570.664433 yylex_token: rename-session
1773577570.664443 yylex_token: end at WS
1773577570.664452 yylex_token: --
